Time,Frequency,Amplitude,ADC,Level
[2025-08-07 18:14:36.474],387097.2,6.2661,2192, 1.766V
[2025-08-07 18:14:36.482],387329.1,4.0132,1876, 1.512V
[2025-08-07 18:14:36.482],387561,5.6206,2247, 1.811V
[2025-08-07 18:14:36.482],387793,2.2057,1863, 1.501V
[2025-08-07 18:14:36.482],388024.9,4.4961,2167, 1.746V
[2025-08-07 18:14:36.482],388256.8,4.4431,1982, 1.597V
[2025-08-07 18:14:36.482],388488.8,4.0943,2001, 1.613V
[2025-08-07 18:14:36.483],388720.7,3.3958,2160, 1.741V
[2025-08-07 18:14:36.483],388952.6,5.4429,1844, 1.486V
[2025-08-07 18:14:36.483],389184.6,3.4189,2276, 1.834V
[2025-08-07 18:14:36.483],389416.5,5.1794,1799, 1.450V
[2025-08-07 18:14:36.483],389648.4,3.811,2256, 1.818V
[2025-08-07 18:14:36.483],389880.4,5.7574,1888, 1.521V
[2025-08-07 18:14:36.483],390112.3,9.0511,2100, 1.692V
[2025-08-07 18:14:36.483],390344.2,2.3017,2039, 1.643V
[2025-08-07 18:14:36.483],390576.2,5.7425,1926, 1.552V
[2025-08-07 18:14:36.483],390808.1,3.2708,2199, 1.772V
[2025-08-07 18:14:36.483],391040,4.0797,1815, 1.463V
[2025-08-07 18:14:36.503],391272,3.9579,2247, 1.811V
[2025-08-07 18:14:36.503],391503.9,5.0351,1846, 1.488V
[2025-08-07 18:14:36.503],391735.8,5.2609,2183, 1.759V
[2025-08-07 18:14:36.503],391967.8,4.0873,1974, 1.591V
[2025-08-07 18:14:36.503],392199.7,2.8079,2023, 1.630V
[2025-08-07 18:14:36.503],392431.6,3.588,2100, 1.692V
[2025-08-07 18:14:36.503],392663.6,1.6797,1908, 1.538V
[2025-08-07 18:14:36.503],392895.5,4.1616,2167, 1.746V
[2025-08-07 18:14:36.503],393127.4,6.9914,1888, 1.521V
[2025-08-07 18:14:36.503],393359.4,3.8888,2148, 1.731V
[2025-08-07 18:14:36.503],393591.3,3.1294,1956, 1.576V
[2025-08-07 18:14:36.504],393823.2,9.8653,2086, 1.681V
[2025-08-07 18:14:36.504],394055.2,2.0835,2016, 1.625V
[2025-08-07 18:14:36.504],394287.1,6.105,2023, 1.630V
[2025-08-07 18:14:36.504],394519,4.3173,2068, 1.667V
[2025-08-07 18:14:36.504],394751,3.335,1990, 1.604V
[2025-08-07 18:14:36.504],394982.9,2.4819,2100, 1.692V
[2025-08-07 18:14:36.519],395214.8,6.3867,1972, 1.589V
[2025-08-07 18:14:36.519],395446.8,2.4752,2087, 1.682V
[2025-08-07 18:14:36.519],395678.7,4.2822,1975, 1.592V
[2025-08-07 18:14:36.519],395910.7,1.1679,2071, 1.669V
[2025-08-07 18:14:36.519],396142.6,2.5636,2020, 1.628V
[2025-08-07 18:14:36.519],396374.5,2.4763,2039, 1.643V
[2025-08-07 18:14:36.519],396606.4,4.175,2036, 1.641V
[2025-08-07 18:14:36.519],396838.4,1.7104,2047, 1.650V
[2025-08-07 18:14:36.519],397070.3,2.3938,2039, 1.643V
[2025-08-07 18:14:36.519],397302.2,5.1197,2047, 1.650V
[2025-08-07 18:14:36.520],397534.2,7.4682,2039, 1.643V
[2025-08-07 18:14:36.520],397766.1,2.9102,2023, 1.630V
[2025-08-07 18:14:36.521],397998.1,3.8639,2064, 1.663V
[2025-08-07 18:14:36.521],398230,4.3825,2006, 1.617V
[2025-08-07 18:14:36.521],398461.9,1.1766,2084, 1.679V
[2025-08-07 18:14:36.521],398693.8,5.2226,1990, 1.604V
[2025-08-07 18:14:36.521],398925.8,9.933,2079, 1.675V
[2025-08-07 18:14:36.533],399157.7,4.4284,2023, 1.630V
[2025-08-07 18:14:36.533],399389.7,11.8276,2036, 1.641V
[2025-08-07 18:14:36.533],399621.6,10.8008,2071, 1.669V
[2025-08-07 18:14:36.533],399853.5,1.4086,1974, 1.591V
[2025-08-07 18:14:36.533],400085.4,10.173,2110, 1.700V
[2025-08-07 18:14:36.533],400317.4,11.5976,1950, 1.571V
[2025-08-07 18:14:36.533],400549.3,5.7132,2119, 1.708V
[2025-08-07 18:14:36.533],400781.2,20.4027,1951, 1.572V
[2025-08-07 18:14:36.533],401013.2,12.301,2087, 1.682V
[2025-08-07 18:14:36.533],401245.1,2.7134,2023, 1.630V
[2025-08-07 18:14:36.533],401477.1,29.8438,2020, 1.628V
[2025-08-07 18:14:36.534],401709,4.2597,2079, 1.675V
[2025-08-07 18:14:36.535],401940.9,0.6605,1950, 1.571V
[2025-08-07 18:14:36.535],402172.8,7.2365,2148, 1.731V
[2025-08-07 18:14:36.535],402404.8,8.0924,1927, 1.553V
[2025-08-07 18:14:36.535],402636.7,15.032,2135, 1.721V
[2025-08-07 18:14:36.550],402868.7,4.5858,1968, 1.586V
[2025-08-07 18:14:36.550],403100.6,6.4907,2100, 1.692V
[2025-08-07 18:14:36.550],403332.5,15.8789,2023, 1.630V
[2025-08-07 18:14:36.550],403564.4,10.0561,2038, 1.642V
[2025-08-07 18:14:36.550],403796.4,15.2078,2047, 1.650V
[2025-08-07 18:14:36.550],404028.3,22.4823,1991, 1.604V
[2025-08-07 18:14:36.550],404260.2,4.9383,2103, 1.695V
[2025-08-07 18:14:36.550],404492.2,32.1263,1951, 1.572V
[2025-08-07 18:14:36.550],404724.1,13.7141,2119, 1.708V
[2025-08-07 18:14:36.550],404956.1,6.1613,1943, 1.566V
[2025-08-07 18:14:36.550],405188,35.2214,2135, 1.721V
[2025-08-07 18:14:36.551],405419.9,0.6741,1991, 1.604V
[2025-08-07 18:14:36.552],405651.8,14.1671,2071, 1.669V
[2025-08-07 18:14:36.552],405883.8,23.6639,2055, 1.656V
[2025-08-07 18:14:36.552],406115.7,10.2603,1975, 1.592V
[2025-08-07 18:14:36.552],406347.7,13.1791,2160, 1.741V
[2025-08-07 18:14:36.552],406579.6,6.2207,1908, 1.538V
[2025-08-07 18:14:36.566],406811.5,8.3217,2182, 1.758V
[2025-08-07 18:14:36.566],407043.5,7.9816,1904, 1.534V
[2025-08-07 18:14:36.566],407275.4,5.3619,2134, 1.720V
[2025-08-07 18:14:36.566],407507.3,5.8151,1991, 1.604V
[2025-08-07 18:14:36.566],407739.2,5.3664,1991, 1.604V
[2025-08-07 18:14:36.566],407971.2,5.9178,2135, 1.721V
[2025-08-07 18:14:36.566],408203.1,2.1505,1888, 1.521V
[2025-08-07 18:14:36.566],408435.1,6.4543,2231, 1.798V
[2025-08-07 18:14:36.566],408667,10.3031,1847, 1.488V
[2025-08-07 18:14:36.566],408898.9,10.3291,2215, 1.785V
[2025-08-07 18:14:36.566],409130.9,6.9363,1927, 1.553V
[2025-08-07 18:14:36.566],409362.8,6.0216,2103, 1.695V
[2025-08-07 18:14:36.566],409594.7,18.9672,2047, 1.650V
[2025-08-07 18:14:36.566],409826.7,4.6286,1927, 1.553V
[2025-08-07 18:14:36.566],410058.6,5.0977,2214, 1.784V
[2025-08-07 18:14:36.566],410290.5,23.6413,1831, 1.476V
[2025-08-07 18:14:36.566],410522.5,4.8693,2247, 1.811V
[2025-08-07 18:14:36.579],410754.4,11.4088,1847, 1.488V
[2025-08-07 18:14:36.579],410986.3,23.9018,2160, 1.741V
[2025-08-07 18:14:36.579],411218.2,11.2155,1975, 1.592V
[2025-08-07 18:14:36.579],411450.2,24.1704,2007, 1.617V
[2025-08-07 18:14:36.579],411682.1,23.2971,2119, 1.708V
[2025-08-07 18:14:36.579],411914.1,5.275,1904, 1.534V
[2025-08-07 18:14:36.579],412146,37.6052,2196, 1.770V
[2025-08-07 18:14:36.579],412377.9,47.4945,1911, 1.540V
[2025-08-07 18:14:36.579],412609.9,33.3476,2148, 1.731V
[2025-08-07 18:14:36.579],412841.8,101.1212,1975, 1.592V
[2025-08-07 18:14:36.579],413073.7,48.3434,2055, 1.656V
[2025-08-07 18:14:36.580],413305.7,19.6916,2055, 1.656V
[2025-08-07 18:14:36.580],413537.6,31.5492,1988, 1.602V
[2025-08-07 18:14:36.580],413769.5,39.752,2103, 1.695V
[2025-08-07 18:14:36.580],414001.5,89.3309,1972, 1.589V
[2025-08-07 18:14:36.580],414233.4,164.767,2111, 1.701V
[2025-08-07 18:14:36.595],414465.3,66.1572,1975, 1.592V
[2025-08-07 18:14:36.595],414697.2,77.8741,2087, 1.682V
[2025-08-07 18:14:36.595],414929.2,43.6428,2016, 1.625V
[2025-08-07 18:14:36.595],415161.1,70.1774,2046, 1.649V
[2025-08-07 18:14:36.595],415393.1,216.6334,2055, 1.656V
[2025-08-07 18:14:36.595],415625,49.1522,2007, 1.617V
[2025-08-07 18:14:36.595],415856.9,172.6876,2071, 1.669V
[2025-08-07 18:14:36.595],416088.9,158.6521,2015, 1.624V
[2025-08-07 18:14:36.595],416320.8,49.645,2064, 1.663V
[2025-08-07 18:14:36.595],416552.8,146.8783,2023, 1.630V
[2025-08-07 18:14:36.595],416784.7,44.4313,2055, 1.656V
[2025-08-07 18:14:36.596],417016.6,35.0736,2036, 1.641V
[2025-08-07 18:14:36.596],417248.5,74.9169,2046, 1.649V
[2025-08-07 18:14:36.596],417480.5,21.555,2020, 1.628V
[2025-08-07 18:14:36.596],417712.4,10.6185,2055, 1.656V
[2025-08-07 18:14:36.596],417944.3,24.5736,2016, 1.625V
[2025-08-07 18:14:36.596],418176.3,10.9261,2047, 1.650V
[2025-08-07 18:14:36.610],418408.2,12.8161,2023, 1.630V
[2025-08-07 18:14:36.610],418640.1,14.4545,2039, 1.643V
[2025-08-07 18:14:36.610],418872.1,10.6335,2047, 1.650V
[2025-08-07 18:14:36.610],419104,11.4859,1991, 1.604V
[2025-08-07 18:14:36.610],419335.9,4.347,2086, 1.681V
[2025-08-07 18:14:36.610],419567.9,11.8851,1958, 1.578V
[2025-08-07 18:14:36.610],419799.8,12.3915,2103, 1.695V
[2025-08-07 18:14:36.610],420031.8,5.831,1975, 1.592V
[2025-08-07 18:14:36.610],420263.7,2.8074,2084, 1.679V
[2025-08-07 18:14:36.610],420495.6,18.4937,2007, 1.617V
[2025-08-07 18:14:36.610],420727.5,1.9551,2039, 1.643V
[2025-08-07 18:14:36.611],420959.5,11.1558,2047, 1.650V
[2025-08-07 18:14:36.612],421191.4,18.044,2004, 1.615V
[2025-08-07 18:14:36.612],421423.3,6.2293,2084, 1.679V
[2025-08-07 18:14:36.612],421655.3,22.5336,1972, 1.589V
[2025-08-07 18:14:36.612],421887.2,24.2329,2100, 1.692V
[2025-08-07 18:14:36.625],422119.1,9.1403,1991, 1.604V
[2025-08-07 18:14:36.625],422351.1,11.4156,2071, 1.669V
[2025-08-07 18:14:36.625],422583,25.5021,2007, 1.617V
[2025-08-07 18:14:36.625],422814.9,7.5005,2047, 1.650V
[2025-08-07 18:14:36.625],423046.9,45.5559,2047, 1.650V
[2025-08-07 18:14:36.625],423278.8,8.1867,2022, 1.629V
[2025-08-07 18:14:36.625],423510.8,10.0532,2071, 1.669V
[2025-08-07 18:14:36.625],423742.7,55.5393,1974, 1.591V
[2025-08-07 18:14:36.625],423974.6,17.0453,2116, 1.705V
[2025-08-07 18:14:36.625],424206.5,34.754,1968, 1.586V
[2025-08-07 18:14:36.625],424438.5,22.8881,2100, 1.692V
[2025-08-07 18:14:36.627],424670.4,6.9865,1991, 1.604V
[2025-08-07 18:14:36.627],424902.3,8.4452,2064, 1.663V
[2025-08-07 18:14:36.627],425134.3,7.7602,2055, 1.656V
[2025-08-07 18:14:36.627],425366.2,2.1673,1975, 1.592V
[2025-08-07 18:14:36.627],425598.2,27.1782,2135, 1.721V
[2025-08-07 18:14:36.627],425830.1,15.4352,1895, 1.527V
[2025-08-07 18:14:36.641],426062,22.4263,2180, 1.757V
[2025-08-07 18:14:36.641],426293.9,9.4134,1908, 1.538V
[2025-08-07 18:14:36.641],426525.9,5.2097,2119, 1.708V
[2025-08-07 18:14:36.641],426757.8,39.5813,1991, 1.604V
[2025-08-07 18:14:36.641],426989.8,7.5249,2020, 1.628V
[2025-08-07 18:14:36.641],427221.7,18.6939,2127, 1.714V
[2025-08-07 18:14:36.641],427453.6,33.5849,1888, 1.521V
[2025-08-07 18:14:36.641],427685.6,4.3634,2224, 1.792V
[2025-08-07 18:14:36.641],427917.5,23.1815,1847, 1.488V
[2025-08-07 18:14:36.641],428149.4,13.0469,2228, 1.795V
[2025-08-07 18:14:36.641],428381.3,9.5331,1924, 1.550V
[2025-08-07 18:14:36.642],428613.3,16.5256,2096, 1.689V
[2025-08-07 18:14:36.642],428845.2,1.1045,2055, 1.656V
[2025-08-07 18:14:36.642],429077.2,7.8721,1934, 1.559V
[2025-08-07 18:14:36.642],429309.1,8.4429,2215, 1.785V
[2025-08-07 18:14:36.642],429541,6.7603,1831, 1.476V
[2025-08-07 18:14:36.655],429772.9,4.4899,2263, 1.824V
[2025-08-07 18:14:36.655],430004.9,8.3362,1860, 1.499V
[2025-08-07 18:14:36.655],430236.8,7.1423,2176, 1.754V
[2025-08-07 18:14:36.655],430468.8,6.1786,1972, 1.589V
[2025-08-07 18:14:36.655],430700.7,1.3773,2023, 1.630V
[2025-08-07 18:14:36.655],430932.6,6.2252,2118, 1.707V
[2025-08-07 18:14:36.655],431164.6,8.225,1895, 1.527V
[2025-08-07 18:14:36.655],431396.5,1.6497,2196, 1.770V
[2025-08-07 18:14:36.655],431628.4,4.4365,1895, 1.527V
[2025-08-07 18:14:36.655],431860.3,12.3078,2151, 1.733V
[2025-08-07 18:14:36.655],432092.3,4.8279,1959, 1.579V
[2025-08-07 18:14:36.656],432324.2,5.9874,2084, 1.679V
[2025-08-07 18:14:36.657],432556.2,10.8364,2023, 1.630V
[2025-08-07 18:14:36.657],432788.1,2.7429,2020, 1.628V
[2025-08-07 18:14:36.657],433020,10.004,2071, 1.669V
[2025-08-07 18:14:36.657],433251.9,6.1404,1975, 1.592V
[2025-08-07 18:14:36.657],433483.9,3.4512,2096, 1.689V
[2025-08-07 18:14:36.670],433715.8,11.4795,1988, 1.602V
[2025-08-07 18:14:36.670],433947.8,2.8951,2087, 1.682V
[2025-08-07 18:14:36.670],434179.7,6.4832,2006, 1.617V
[2025-08-07 18:14:36.670],434411.6,7.457,2047, 1.650V
[2025-08-07 18:14:36.670],434643.6,4.7904,2047, 1.650V
[2025-08-07 18:14:36.670],434875.5,4.7456,2023, 1.630V
[2025-08-07 18:14:36.670],435107.4,9.9579,2047, 1.650V
[2025-08-07 18:14:36.670],435339.3,4.2665,2020, 1.628V
[2025-08-07 18:14:36.670],435571.3,4.0574,2047, 1.650V
[2025-08-07 18:14:36.670],435803.2,5.6426,2007, 1.617V
[2025-08-07 18:14:36.670],436035.2,4.1412,2079, 1.675V
[2025-08-07 18:14:36.671],436267.1,7.3916,1988, 1.602V
[2025-08-07 18:14:36.671],436499,4.441,2086, 1.681V
[2025-08-07 18:14:36.671],436731,2.3515,1975, 1.592V
[2025-08-07 18:14:36.671],436962.9,9.16,2087, 1.682V
[2025-08-07 18:14:36.671],437194.8,2.1398,2000, 1.612V
[2025-08-07 18:14:36.671],437426.8,2.4062,2055, 1.656V
[2025-08-07 18:14:36.686],437658.7,4.8244,2039, 1.643V
[2025-08-07 18:14:36.686],437890.6,3.2733,2004, 1.615V
[2025-08-07 18:14:36.686],438122.6,3.281,2116, 1.705V
[2025-08-07 18:14:36.686],438354.5,1.1423,1934, 1.559V
[2025-08-07 18:14:36.686],438586.4,0.5916,2151, 1.733V
[2025-08-07 18:14:36.686],438818.4,6.0664,1911, 1.540V
[2025-08-07 18:14:36.686],439050.3,1.805,2148, 1.731V
[2025-08-07 18:14:36.686],439282.2,4.1957,1943, 1.566V
[2025-08-07 18:14:36.686],439514.2,4.3925,2096, 1.689V
[2025-08-07 18:14:36.686],439746.1,1.8667,2023, 1.630V
[2025-08-07 18:14:36.686],439978,2.0395,2015, 1.624V
[2025-08-07 18:14:36.686],440210,6.2574,2086, 1.681V
[2025-08-07 18:14:36.686],440441.9,1.9207,1959, 1.579V
[2025-08-07 18:14:36.686],440673.8,4.6173,2116, 1.705V
[2025-08-07 18:14:36.686],440905.8,2.3892,1951, 1.572V
[2025-08-07 18:14:36.686],441137.7,0.7936,2102, 1.694V
[2025-08-07 18:14:36.686],441369.6,4.453,2001, 1.613V
[2025-08-07 18:14:36.700],441601.6,4.3016,2047, 1.650V
[2025-08-07 18:14:36.700],441833.5,3.2739,2055, 1.656V
[2025-08-07 18:14:36.700],442065.4,4.9432,1991, 1.604V
[2025-08-07 18:14:36.700],442297.4,2.9962,2103, 1.695V
[2025-08-07 18:14:36.700],442529.3,2.184,1959, 1.579V
[2025-08-07 18:14:36.700],442761.2,3.0876,2119, 1.708V
[2025-08-07 18:14:36.700],442993.2,1.8693,1968, 1.586V
[2025-08-07 18:14:36.700],443225.1,5.7107,2103, 1.695V
[2025-08-07 18:14:36.700],443457,0.7179,1999, 1.611V
[2025-08-07 18:14:36.700],443689,1.9142,2047, 1.650V
[2025-08-07 18:14:36.700],443920.9,5.3387,2047, 1.650V
[2025-08-07 18:14:36.701],444152.8,3.1717,1990, 1.604V
[2025-08-07 18:14:36.702],444384.8,0.7715,2119, 1.708V
[2025-08-07 18:14:36.702],444616.7,3.0765,1911, 1.540V
[2025-08-07 18:14:36.702],444848.6,3.2051,2167, 1.746V
[2025-08-07 18:14:36.702],445080.6,5.2168,1888, 1.521V
[2025-08-07 18:14:36.702],445312.5,2.832,2167, 1.746V
[2025-08-07 18:14:36.715],445544.4,2.0769,1927, 1.553V
[2025-08-07 18:14:36.715],445776.4,2.0099,2118, 1.707V
[2025-08-07 18:14:36.715],446008.3,3.1373,1999, 1.611V
[2025-08-07 18:14:36.715],446240.2,2.9175,2007, 1.617V
[2025-08-07 18:14:36.715],446472.2,8.7453,2103, 1.695V
[2025-08-07 18:14:36.715],446704.1,4.0581,1927, 1.553V
[2025-08-07 18:14:36.715],446936,2.7679,2164, 1.744V
[2025-08-07 18:14:36.715],447168,9.8788,1911, 1.540V
[2025-08-07 18:14:36.715],447399.9,3.4785,2135, 1.721V
[2025-08-07 18:14:36.715],447631.8,1.2591,1975, 1.592V
[2025-08-07 18:14:36.715],447863.8,2.525,2047, 1.650V
[2025-08-07 18:14:36.716],448095.7,0.7558,2071, 1.669V
[2025-08-07 18:14:36.716],448327.6,8.9597,1943, 1.566V
[2025-08-07 18:14:36.716],448559.6,5.1924,2167, 1.746V
[2025-08-07 18:14:36.716],448791.5,4.1876,1905, 1.535V
[2025-08-07 18:14:36.716],449023.4,2.8289,2160, 1.741V
[2025-08-07 18:14:36.716],449255.4,3.3317,1975, 1.592V
[2025-08-07 18:14:36.730],449487.3,4.9549,2047, 1.650V
[2025-08-07 18:14:36.730],449719.2,5.9013,2084, 1.679V
[2025-08-07 18:14:36.730],449951.2,1.5297,1951, 1.572V
[2025-08-07 18:14:36.730],450183.1,5.4621,2160, 1.741V
[2025-08-07 18:14:36.730],450415,1.9813,1911, 1.540V
[2025-08-07 18:14:36.730],450647,3.5364,2148, 1.731V
[2025-08-07 18:14:36.730],450878.9,4.0352,1968, 1.586V
[2025-08-07 18:14:36.730],451110.8,0.342,2047, 1.650V
[2025-08-07 18:14:36.730],451342.8,1.3558,2068, 1.667V
[2025-08-07 18:14:36.730],451574.7,2.3363,1968, 1.586V
[2025-08-07 18:14:36.730],451806.6,1.535,2119, 1.708V
[2025-08-07 18:14:36.732],452038.6,0.4475,1952, 1.573V
[2025-08-07 18:14:36.732],452270.5,3.5148,2103, 1.695V
[2025-08-07 18:14:36.732],452502.4,0.5052,1988, 1.602V
[2025-08-07 18:14:36.732],452734.4,1.442,2039, 1.643V
[2025-08-07 18:14:36.732],452966.3,3.3349,2064, 1.663V
[2025-08-07 18:14:36.732],453198.2,3.2625,1975, 1.592V
[2025-08-07 18:14:36.745],453430.2,1.5863,2100, 1.692V
[2025-08-07 18:14:36.745],453662.1,1.3717,1975, 1.592V
[2025-08-07 18:14:36.745],453894,1.3425,2071, 1.669V
[2025-08-07 18:14:36.745],454126,1.5905,2020, 1.628V
[2025-08-07 18:14:36.745],454357.9,3.0302,2020, 1.628V
[2025-08-07 18:14:36.745],454589.8,0.6919,2087, 1.682V
[2025-08-07 18:14:36.745],454821.8,1.2917,1959, 1.579V
[2025-08-07 18:14:36.745],455053.7,0.2226,2127, 1.714V
[2025-08-07 18:14:36.745],455285.7,0.6575,1975, 1.592V
[2025-08-07 18:14:36.745],455517.6,2.1059,2071, 1.669V
[2025-08-07 18:14:36.745],455749.5,1.9486,2039, 1.643V
[2025-08-07 18:14:36.746],455981.4,1.627,1959, 1.579V
[2025-08-07 18:14:36.746],456213.4,1.8686,2151, 1.733V
[2025-08-07 18:14:36.746],456445.3,1.6853,1879, 1.514V
[2025-08-07 18:14:36.746],456677.2,3.8656,2207, 1.779V
[2025-08-07 18:14:36.746],456909.2,2.4829,1886, 1.520V
[2025-08-07 18:14:36.746],457141.1,2.1669,2151, 1.733V
[2025-08-07 18:14:36.761],457373.1,1.159,1984, 1.599V
[2025-08-07 18:14:36.761],457605,1.0864,1998, 1.610V
[2025-08-07 18:14:36.761],457836.9,2.4908,2135, 1.721V
[2025-08-07 18:14:36.761],458068.8,2.7836,1863, 1.501V
[2025-08-07 18:14:36.761],458300.8,1.5146,2247, 1.811V
[2025-08-07 18:14:36.761],458532.7,1.852,1824, 1.470V
[2025-08-07 18:14:36.761],458764.7,1.4914,2247, 1.811V
[2025-08-07 18:14:36.761],458996.6,1.277,1892, 1.525V
[2025-08-07 18:14:36.761],459228.5,3.7957,2132, 1.718V
[2025-08-07 18:14:36.761],459460.4,1.9079,2022, 1.629V
[2025-08-07 18:14:36.761],459692.4,2.1344,1968, 1.586V
[2025-08-07 18:14:36.762],459924.3,2.6409,2151, 1.733V
[2025-08-07 18:14:36.762],460156.2,1.1183,1879, 1.514V
[2025-08-07 18:14:36.762],460388.2,1.6476,2198, 1.771V
[2025-08-07 18:14:36.762],460620.1,2.2221,1908, 1.538V
[2025-08-07 18:14:36.762],460852.1,0.8754,2135, 1.721V
[2025-08-07 18:14:36.762],461084,3.4689,1991, 1.604V
[2025-08-07 18:14:36.778],461315.9,2.2988,2014, 1.623V
[2025-08-07 18:14:36.778],461547.8,2.02,2103, 1.695V
[2025-08-07 18:14:36.778],461779.8,0.9221,1924, 1.550V
[2025-08-07 18:14:36.778],462011.7,1.2164,2167, 1.746V
[2025-08-07 18:14:36.778],462243.7,2.2623,1911, 1.540V
[2025-08-07 18:14:36.778],462475.6,0.5311,2150, 1.733V
[2025-08-07 18:14:36.778],462707.5,1.4972,1959, 1.579V
[2025-08-07 18:14:36.778],462939.4,3.0891,2047, 1.650V
[2025-08-07 18:14:36.778],463171.4,0.4332,2047, 1.650V
[2025-08-07 18:14:36.778],463403.3,1.0861,1975, 1.592V
[2025-08-07 18:14:36.778],463635.2,1.2577,2144, 1.728V
[2025-08-07 18:14:36.778],463867.2,1.5174,1919, 1.546V
[2025-08-07 18:14:36.778],464099.1,1.8493,2167, 1.746V
[2025-08-07 18:14:36.778],464331.1,0.4867,1911, 1.540V
[2025-08-07 18:14:36.778],464563,1.1467,2164, 1.744V
[2025-08-07 18:14:36.778],464794.9,0.9926,1959, 1.579V
[2025-08-07 18:14:36.778],465026.8,1.2106,2071, 1.669V
[2025-08-07 18:14:36.793],465258.8,1.2288,2039, 1.643V
[2025-08-07 18:14:36.793],465490.7,1.3694,1975, 1.592V
[2025-08-07 18:14:36.793],465722.7,1.3579,2148, 1.731V
[2025-08-07 18:14:36.793],465954.6,0.7916,1895, 1.527V
[2025-08-07 18:14:36.793],466186.5,0.8214,2199, 1.772V
[2025-08-07 18:14:36.793],466418.5,1.3223,1863, 1.501V
[2025-08-07 18:14:36.793],466650.4,3.0076,2199, 1.772V
[2025-08-07 18:14:36.793],466882.3,1.2798,1935, 1.559V
[2025-08-07 18:14:36.793],467114.2,1.3289,2071, 1.669V
[2025-08-07 18:14:36.793],467346.2,3.0586,2064, 1.663V
[2025-08-07 18:14:36.793],467578.1,1.4358,1951, 1.572V
[2025-08-07 18:14:36.794],467810.1,1.2496,2183, 1.759V
[2025-08-07 18:14:36.794],468042,1.0289,1863, 1.501V
[2025-08-07 18:14:36.794],468273.9,0.1963,2215, 1.785V
[2025-08-07 18:14:36.794],468505.9,1.6898,1895, 1.527V
[2025-08-07 18:14:36.794],468737.8,1.3055,2127, 1.714V
[2025-08-07 18:14:36.794],468969.7,1.5178,2020, 1.628V
[2025-08-07 18:14:36.806],469201.7,1.3616,1984, 1.599V
[2025-08-07 18:14:36.806],469433.6,1.2371,2135, 1.721V
[2025-08-07 18:14:36.806],469665.5,1.0325,1895, 1.527V
[2025-08-07 18:14:36.806],469897.5,0.5493,2167, 1.746V
[2025-08-07 18:14:36.806],470129.4,0.7654,1951, 1.572V
[2025-08-07 18:14:36.806],470361.3,0.636,2055, 1.656V
[2025-08-07 18:14:36.806],470593.2,1.2361,2071, 1.669V
[2025-08-07 18:14:36.806],470825.2,0.1722,1911, 1.540V
[2025-08-07 18:14:36.806],471057.1,1.6119,2199, 1.772V
[2025-08-07 18:14:36.806],471289.1,0.8247,1860, 1.499V
[2025-08-07 18:14:36.806],471521,1.3914,2183, 1.759V
[2025-08-07 18:14:36.808],471752.9,2.1212,1943, 1.566V
[2025-08-07 18:14:36.808],471984.9,1.3324,2047, 1.650V
[2025-08-07 18:14:36.808],472216.8,0.5675,2103, 1.695V
[2025-08-07 18:14:36.808],472448.7,0.6512,1886, 1.520V
[2025-08-07 18:14:36.808],472680.7,1.2147,2215, 1.785V
[2025-08-07 18:14:36.808],472912.6,1.3171,1841, 1.484V
[2025-08-07 18:14:36.823],473144.5,0.1577,2196, 1.770V
[2025-08-07 18:14:36.823],473376.5,0.2611,1935, 1.559V
[2025-08-07 18:14:36.823],473608.4,1.8111,2063, 1.662V
[2025-08-07 18:14:36.823],473840.3,0.3065,2103, 1.695V
[2025-08-07 18:14:36.823],474072.2,1.0592,1904, 1.534V
[2025-08-07 18:14:36.823],474304.2,1.6594,2215, 1.785V
[2025-08-07 18:14:36.823],474536.1,0.354,1872, 1.509V
[2025-08-07 18:14:36.823],474768.1,0.9391,2167, 1.746V
[2025-08-07 18:14:36.823],0,0.7559,1766, 1.423V
[2025-08-07 18:14:36.823],231.9,0.8119,2311, 1.862V
[2025-08-07 18:14:36.823],463.9,0.7478,1831, 1.476V
[2025-08-07 18:14:36.824],695.8,1.8625,2175, 1.753V
[2025-08-07 18:14:36.824],927.7,0.2933,2016, 1.625V
[2025-08-07 18:14:36.824],1159.7,2.4327,1951, 1.572V
[2025-08-07 18:14:36.824],1391.6,1.6629,2215, 1.785V
[2025-08-07 18:14:36.824],1623.5,0.8526,1799, 1.450V
[2025-08-07 18:14:36.824],1855.5,1.2185,2295, 1.849V
[2025-08-07 18:14:36.838],2087.4,0.777,1815, 1.463V
[2025-08-07 18:14:36.838],2319.3,0.4666,2224, 1.792V
[2025-08-07 18:14:36.838],2551.3,1.0781,1959, 1.579V
[2025-08-07 18:14:36.838],2783.2,0.4191,2007, 1.617V
[2025-08-07 18:14:36.838],3015.1,0.617,2167, 1.746V
[2025-08-07 18:14:36.838],3247.1,1.4164,1828, 1.473V
[2025-08-07 18:14:36.838],3479,0.6526,2311, 1.862V
[2025-08-07 18:14:36.838],3710.9,1.1078,1775, 1.430V
[2025-08-07 18:14:36.838],3942.9,0.7989,2288, 1.844V
[2025-08-07 18:14:36.838],4174.8,0.5196,1863, 1.501V
[2025-08-07 18:14:36.838],4406.7,1.4553,2119, 1.708V
[2025-08-07 18:14:36.839],4638.7,1.5514,2047, 1.650V
[2025-08-07 18:14:36.839],4870.6,0.8936,1911, 1.540V
[2025-08-07 18:14:36.839],5102.5,0.4078,2230, 1.797V
